url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/perplexity/0190699f-010b-44f2-8399-278899fef018	2026-04-28	ashby-api	Member of Technical Staff (Machine Learning Engineer, Search)	Perplexity AI	added
https://jobs.ashbyhq.com/perplexity/3c656963-876a-458d-bca6-916a42a24c1a	2026-04-28	ashby-api	Member of Technical Staff (Software Engineer, Applied AI)	Perplexity AI	added
https://jobs.ashbyhq.com/perplexity/a805e14b-061d-469c-9136-b9e6a1855902	2026-04-28	ashby-api	Member of Technical Staff (Product Data Scientist, Search Quality)	Perplexity AI	added
https://jobs.ashbyhq.com/perplexity/44181937-a55e-4c68-a2dc-9a86e0898498	2026-04-28	ashby-api	Engineering Manager (Agents)	Perplexity AI	added
https://jobs.ashbyhq.com/perplexity/bc1a6878-8de9-48c2-a791-95b2f8f27261	2026-04-28	ashby-api	Member of Technical Staff (AI Software Engineer, Agents)	Perplexity AI	added
https://jobs.ashbyhq.com/perplexity/4615ca06-bea7-47e3-9e57-f5cee52b75e6	2026-04-28	ashby-api	Member of Technical Staff (Data Scientist, Evals)	Perplexity AI	added
https://jobs.ashbyhq.com/perplexity/768efd34-3854-4c9b-9686-2a128ab35405	2026-04-28	ashby-api	Member of Technical Staff (Data Scientist/Engineer, Online Metrics)	Perplexity AI	added
https://jobs.ashbyhq.com/perplexity/d680e788-14d3-43f6-8ce8-5df486ca32d0	2026-04-28	ashby-api	Member of Technical Staff (Data Scientist)	Perplexity AI	added
https://jobs.ashbyhq.com/perplexity/1a3df802-9238-4827-ab1f-12a9d1e4b81c	2026-04-28	ashby-api	Member of Technical Staff (Machine Learning Research Engineer)	Perplexity AI	added
https://jobs.ashbyhq.com/langchain/c75915ba-a32b-4e17-873d-19b47564170d	2026-04-28	ashby-api	Fullstack Software Engineer, Applied AI	LangChain	added
https://jobs.ashbyhq.com/langchain/defd4191-7a83-464c-a297-91ebd52981e1	2026-04-28	ashby-api	Education Engineer, Machine Learning	LangChain	added
https://jobs.ashbyhq.com/elevenlabs/0f27b962-8ff2-4e1b-b138-769a50391800	2026-04-28	ashby-api	GTM Agentic Enablement Lead	ElevenLabs	added
https://job-boards.greenhouse.io/humeai/jobs/4003488008	2026-04-28	greenhouse-api	Senior/Staff AI Research Engineer	Hume AI	added
